N;GID;Data.Table;Data.Addr;Beremiz.Addr;ModBus.Table;ModBus.Addr;Retain;Type;Str
135;81;Numbers;103;%MW8.2.38;HOLDINGS;77;-;WORD;User Data 38
136;81;Numbers;104;%MW8.2.39;HOLDINGS;78;-;WORD;User Data 39
137;81;Numbers;105;%MW8.2.40;HOLDINGS;79;-;WORD;User Data 40
138;81;Numbers;106;%MW8.2.41;HOLDINGS;80;-;WORD;User Data 41
139;81;Numbers;107;%MW8.2.42;HOLDINGS;81;-;WORD;User Data 42
140;81;Numbers;108;%MW8.2.43;HOLDINGS;82;-;WORD;User Data 43
141;81;Numbers;109;%MW8.2.44;HOLDINGS;83;-;WORD;User Data 44
142;81;Numbers;110;%MW8.2.45;HOLDINGS;84;-;WORD;User Data 45
143;81;Numbers;111;%MW8.2.46;HOLDINGS;85;-;WORD;User Data 46
144;81;Numbers;112;%MW8.2.47;HOLDINGS;86;-;WORD;User Data 47
145;81;Numbers;113;%MW8.2.48;HOLDINGS;87;-;WORD;User Data 48
146;81;Numbers;114;%MW8.2.49;HOLDINGS;88;-;WORD;User Data 49
147;81;Numbers;115;%MW8.2.50;HOLDINGS;89;-;WORD;User Data 50
148;81;Numbers;116;%MW8.2.51;HOLDINGS;90;-;WORD;User Data 51
149;81;Numbers;117;%MW8.2.52;HOLDINGS;91;-;WORD;User Data 52
150;81;Numbers;118;%MW8.2.53;HOLDINGS;92;-;WORD;User Data 53
151;81;Numbers;119;%MW8.2.54;HOLDINGS;93;-;WORD;User Data 54
152;81;Numbers;120;%MW8.2.55;HOLDINGS;94;-;WORD;User Data 55
153;81;Numbers;121;%MW8.2.56;HOLDINGS;95;-;WORD;User Data 56
154;81;Numbers;122;%MW8.2.57;HOLDINGS;96;-;WORD;User Data 57
155;81;Numbers;123;%MW8.2.58;HOLDINGS;97;-;WORD;User Data 58
156;81;Numbers;124;%MW8.2.59;HOLDINGS;98;-;WORD;User Data 59
157;81;Numbers;125;%MW8.2.60;HOLDINGS;99;-;WORD;User Data 60
158;81;Numbers;126;%MW8.2.61;HOLDINGS;100;-;WORD;User Data 61
159;81;Numbers;127;%MW8.2.62;HOLDINGS;101;-;WORD;User Data 62
160;81;Numbers;128;%MW8.2.63;HOLDINGS;102;-;WORD;User Data 63
